Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,2-STORY 1946 & NEWER,Residential Low Density,65.0,8450,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,Two Story,Good,Average,2003,2003,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,706,Unfinished,0,150,856,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,,Attached,2003.0,Rough Finished,2,548,Typical/Average,Typical/Average,Paved,0,61,0,0,0,0,,,,0,2,2008,Warranty Deed - Conventional,Normal Sale,208500
2,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,,Regular,Near Flat/Level,All Public Utilities,Frontage on 2 Sides,Gentle Slope,Veenker,Adjacent to Feeder Street,Normal,Single-Family Detached,One Story,Above Average,Very Good,1976,1976,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Good Exposure,Average Living Quarters,978,Unfinished,0,284,1262,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1976.0,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,298,0,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,181500
3,2-STORY 1946 & NEWER,Residential Low Density,68.0,11250,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,Two Story,Good,Average,2001,2002,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Minimum Exposure,Good Living Quarters,486,Unfinished,0,434,920,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,2001.0,Rough Finished,2,608,Typical/Average,Typical/Average,Paved,0,42,0,0,0,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,223500
4,2-STORY 1945 & OLDER,Residential Low Density,60.0,9550,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Crawford,Normal,Normal,Single-Family Detached,Two Story,Good,Average,1915,1970,Gable,Standard Shingle,Wood Siding,,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Good,No Exposure,Average Living Quarters,216,Unfinished,0,540,756,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Detached,1998.0,Unfinished,3,642,Typical/Average,Typical/Average,Paved,0,35,272,0,0,0,,,,0,2,2006,Warranty Deed - Conventional,Abnormal Sale,140000
5,2-STORY 1946 & NEWER,Residential Low Density,84.0,14260,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Frontage on 2 Sides,Gentle Slope,Northridge,Normal,Normal,Single-Family Detached,Two Story,Very Good,Average,2000,2000,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,655,Unfinished,0,490,1145,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,2000.0,Rough Finished,3,836,Typical/Average,Typical/Average,Paved,192,84,0,0,0,0,,,,0,12,2008,Warranty Deed - Conventional,Normal Sale,250000
6,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,85.0,14115,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Mitchell,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Average,1993,1995,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Wood,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,732,Unfinished,0,64,796,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Typical/Average,5,Typical Functionality,0,,Attached,1993.0,Unfinished,2,480,Typical/Average,Typical/Average,Paved,40,30,0,320,0,0,,Minimum Privacy,Shed (over 100 SF),700,10,2009,Warranty Deed - Conventional,Normal Sale,143000
7,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,10084,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Somerset,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2004,2005,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,186.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Average Exposure,Good Living Quarters,1369,Unfinished,0,317,1686,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2004.0,Rough Finished,2,636,Typical/Average,Typical/Average,Paved,255,57,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,Normal Sale,307000
8,2-STORY 1946 & NEWER,Residential Low Density,,10382,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Northwest Ames,Near Positive Off-Site Feature,Normal,Single-Family Detached,Two Story,Good,Above Average,1973,1973,Gable,Standard Shingle,Hard Board,Hard Board,Stone,240.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Minimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Typical/Average,7,Typical Functionality,2,Average - Prefabricated Fireplace,Attached,1973.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,235,204,228,0,0,0,,,Shed (over 100 SF),350,11,2009,Warranty Deed - Conventional,Normal Sale,200000
9,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51.0,6120,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Adjacent to Arterial Street,Normal,Single-Family Detached,One and One-Half Story (Finished),Good,Average,1931,1950,Gable,Standard Shingle,Brick Face,,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas Forced Warm Air Furnace,Good,Yes,60 AMP Fuse Box,1022,752,0,1774,0,0,2,0,2,2,Typical/Average,8,Minor Deductions 1,2,Average - Prefabricated Fireplace,Detached,1931.0,Unfinished,2,468,Fair,Typical/Average,Paved,90,0,205,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Abnormal Sale,129900
10,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,50.0,7420,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Brookside,Adjacent to Arterial Street,Adjacent to Arterial Street,,One and One-Half Story (Unfinished),Average,Above Average,1939,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Good Living Quarters,851,Unfinished,0,140,991,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Typical/Average,5,Typical Functionality,2,Average - Prefabricated Fireplace,Attached,1939.0,Rough Finished,1,205,Good,Typical/Average,Paved,0,4,0,0,0,0,,,,0,1,2008,Warranty Deed - Conventional,Normal Sale,118000
